,person,dept,eow,cause,cause_short,date,year,canine,dept_name,state
20271,Police Officer Kenneth Tietjen,"Port Authority of New York and New Jersey Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,Port Authority of New York and New Jersey Police Department, NY
20272,Police Officer Nathaniel Webb,"Port Authority of New York and New Jersey Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,Port Authority of New York and New Jersey Police Department, NY
20273,Police Officer Michael Wholey,"Port Authority of New York and New Jersey Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,Port Authority of New York and New Jersey Police Department, NY
20274,Police Officer Glen Pettit,"New York City Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,New York City Police Department, NY
20275,Police Officer Mark Joseph Ellis,"New York City Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,New York City Police Department, NY
20276,Police Officer Ramon Suarez,"New York City Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,New York City Police Department, NY
20277,Police Officer James Leahy,"New York City Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,New York City Police Department, NY
20278,Police Officer Moira Smith,"New York City Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,New York City Police Department, NY
20279,Police Officer Robert Fazio,"New York City Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,New York City Police Department, NY
20280,Police Officer John Perry,"New York City Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,New York City Police Department, NY
20281,Police Officer Walter Weaver,"New York City Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,New York City Police Department, NY
20282,Police Officer Vincent Danz,"New York City Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,New York City Police Department, NY
20283,Police Officer Jerome M. Dominguez,"New York City Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,New York City Police Department, NY
20284,Police Officer John D'Allara,"New York City Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,New York City Police Department, NY
20285,Police Officer Thomas Langone,"New York City Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,New York City Police Department, NY
20286,Police Officer Ronald Kloepfer,"New York City Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,New York City Police Department, NY
20287,Police Officer Santos Valentin,"New York City Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,New York City Police Department, NY
20288,Police Officer Stephen Driscoll,"New York City Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,New York City Police Department, NY
20289,Police Officer Paul Talty,"New York City Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,New York City Police Department, NY
20290,Police Officer Brian McDonnell,"New York City Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,New York City Police Department, NY
20291,Police Officer Dominick Pezzulo,"Port Authority of New York and New Jersey Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,Port Authority of New York and New Jersey Police Department, NY
20292,Sergeant Robert Kaulfers,"Port Authority of New York and New Jersey Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,Port Authority of New York and New Jersey Police Department, NY
20293,Sergeant Rodney Gillis,"New York City Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,New York City Police Department, NY
20294,Sergeant Michael Curtin,"New York City Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,New York City Police Department, NY
20295,Sergeant John Coughlin,"New York City Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,New York City Police Department, NY
20296,Sergeant Timothy Roy,"New York City Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,New York City Police Department, NY
20297,Special Agent Leonard Hatton,"United States Department of Justice - Federal Bureau of Investigation, US","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,United States Department of Justice - Federal Bureau of Investigation, US
20298,Refuge Manager Richard Jerry Guadagno,"United States Department of the Interior - Fish and Wildlife Service - Division of Refuge Law Enforcement, US","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,False,United States Department of the Interior - Fish and Wildlife Service - Division of Refuge Law Enforcement, US
20299,Deputy Sheriff Matt Herzog,"Whatcom County Sheriff's Office, WA","EOW: Thursday, September 13, 2001",Cause of Death: Automobile accident,Automobile accident,2001-09-13,2001,False,Whatcom County Sheriff's Office, WA
20300,Lieutenant Monica Carey,"Clayton Police Department, NC","EOW: Friday, September 14, 2001",Cause of Death: Vehicular assault,Vehicular assault,2001-09-14,2001,False,Clayton Police Department, NC
20301,Deputy Sheriff Paul Grahovac,"Alger County Sheriff's Department, MI","EOW: Saturday, September 15, 2001",Cause of Death: Struck by vehicle,Struck by vehicle,2001-09-15,2001,False,Alger County Sheriff's Department, MI
20302,Lieutenant Jesse Pratt,"Anson County Sheriff's Office, NC","EOW: Saturday, September 15, 2001",Cause of Death: Automobile accident,Automobile accident,2001-09-15,2001,False,Anson County Sheriff's Office, NC
20303,Deputy Sheriff Jason Matthew Baker,"Marion County Sheriff's Department, IN","EOW: Monday, September 17, 2001",Cause of Death: Gunfire,Gunfire,2001-09-17,2001,False,Marion County Sheriff's Department, IN
20304,Sergeant James E. Faraone,"Salt Lake City Police Department, UT","EOW: Tuesday, September 18, 2001",Cause of Death: Automobile accident,Automobile accident,2001-09-18,2001,False,Salt Lake City Police Department, UT
20305,"Police Officer Donan James ""Jim"" Faulkner, Jr.","Peoria Police Department, IL","EOW: Thursday, September 20, 2001",Cause of Death: Gunfire,Gunfire,2001-09-20,2001,False,Peoria Police Department, IL
20306,Officer Ronald Sheffield,"United States General Services Administration - Federal Protective Service, US","EOW: Friday, September 21, 2001",Cause of Death: Gunfire,Gunfire,2001-09-21,2001,False,United States General Services Administration - Federal Protective Service, US
20307,Deputy Sheriff James Brian Collins,"Bladen County Sheriff's Office, NC","EOW: Wednesday, September 26, 2001",Cause of Death: Vehicle pursuit,Vehicle pursuit,2001-09-26,2001,False,Bladen County Sheriff's Office, NC
20308,Deputy Sheriff Jason Schwartz,"Fremont County Sheriff's Office, CO","EOW: Friday, September 28, 2001",Cause of Death: Gunfire,Gunfire,2001-09-28,2001,False,Fremont County Sheriff's Office, CO
20309,Police Officer James B. Gilbert,"Norfolk Police Department, VA","EOW: Friday, September 28, 2001",Cause of Death: Gunfire,Gunfire,2001-09-28,2001,False,Norfolk Police Department, VA
20310,"Sheriff William E. ""Bill"" Carver","Harrison County Sheriff's Department, IN","EOW: Saturday, September 29, 2001",Cause of Death: Heart attack,Heart attack,2001-09-29,2001,False,Harrison County Sheriff's Department, IN
20311,Deputy Sheriff Steven Ziegler,"St. Francois County Sheriff's Office, MO","EOW: Sunday, September 30, 2001",Cause of Death: Automobile accident,Automobile accident,2001-09-30,2001,False,St. Francois County Sheriff's Office, MO
20312,Deputy Sheriff Stephen Dwight Riner,"Sullivan County Sheriff's Department, TN","EOW: Sunday, September 30, 2001",Cause of Death: Automobile accident,Automobile accident,2001-09-30,2001,False,Sullivan County Sheriff's Department, TN
20313,Reserve Deputy Barry Shelton,"Sullivan County Sheriff's Department, TN","EOW: Sunday, September 30, 2001",Cause of Death: Automobile accident,Automobile accident,2001-09-30,2001,False,Sullivan County Sheriff's Department, TN
20314,Correctional Officer Teresia Wheeler,"Alabama Department of Corrections, AL","EOW: Monday, October 1, 2001",Cause of Death: Heart attack,Heart attack,2001-10-01,2001,False,Alabama Department of Corrections, AL
20315,Sergeant Hector A. Silva,"Chicago Police Department, IL","EOW: Tuesday, October 2, 2001",Cause of Death: Training accident,Training accident,2001-10-02,2001,False,Chicago Police Department, IL
20316,"Deputy Sheriff Jerry Alan ""Jed"" Fisher","Gibson County Sheriff's Department, IN","EOW: Wednesday, October 3, 2001",Cause of Death: Heart attack,Heart attack,2001-10-03,2001,False,Gibson County Sheriff's Department, IN
20317,Master Trooper Calvin E. Taylor,"North Carolina Highway Patrol, NC","EOW: Wednesday, October 3, 2001",Cause of Death: Automobile accident,Automobile accident,2001-10-03,2001,False,North Carolina Highway Patrol, NC
20318,"Sheriff Dwight Calvin Woodrell, Jr.","Pawnee County Sheriff's Office, OK","EOW: Saturday, October 13, 2001",Cause of Death: Gunfire,Gunfire,2001-10-13,2001,False,Pawnee County Sheriff's Office, OK
20319,Corporal Michael D. Beverly,"Chester Police Department, PA","EOW: Tuesday, October 16, 2001",Cause of Death: Gunfire,Gunfire,2001-10-16,2001,False,Chester Police Department, PA
20320,Patrolman Damon Talbott,"New Mexico State Police, NM","EOW: Friday, October 19, 2001",Cause of Death: Aircraft accident,Aircraft accident,2001-10-19,2001,False,New Mexico State Police, NM
20321,Patrolman Ramon Robert Solis,"New Mexico State Police, NM","EOW: Friday, October 19, 2001",Cause of Death: Aircraft accident,Aircraft accident,2001-10-19,2001,False,New Mexico State Police, NM
20322,Deputy Sheriff Larry Rhoden,"Polk County Sheriff's Office, FL","EOW: Monday, October 22, 2001",Cause of Death: Aircraft accident,Aircraft accident,2001-10-22,2001,False,Polk County Sheriff's Office, FL
20323,Deputy Sheriff Gene Brian Wilkinson,"Polk County Sheriff's Office, FL","EOW: Monday, October 22, 2001",Cause of Death: Aircraft accident,Aircraft accident,2001-10-22,2001,False,Polk County Sheriff's Office, FL
20324,Detective Joseph Elmer McCain,"Massachusetts State Police, MA","EOW: Monday, October 22, 2001",Cause of Death: Gunfire,Gunfire,2001-10-22,2001,False,Massachusetts State Police, MA
20325,"Police Officer Jerrold Joseph ""Jerry"" Wyss","Decatur Police Department, IN","EOW: Tuesday, October 23, 2001",Cause of Death: Vehicle pursuit,Vehicle pursuit,2001-10-23,2001,False,Decatur Police Department, IN
20326,Wildlife Officer Roy R. Burnsed,"Florida Fish and Wildlife Conservation Commission, FL","EOW: Friday, October 26, 2001",Cause of Death: Automobile accident,Automobile accident,2001-10-26,2001,False,Florida Fish and Wildlife Conservation Commission, FL
20327,Police Officer Jeffrey Michael Fontana,"San Jose Police Department, CA","EOW: Sunday, October 28, 2001",Cause of Death: Gunfire,Gunfire,2001-10-28,2001,False,San Jose Police Department, CA
20328,Wildlife Officer Charles T. Randall,"Florida Fish and Wildlife Conservation Commission, FL","EOW: Sunday, October 28, 2001",Cause of Death: Automobile accident,Automobile accident,2001-10-28,2001,False,Florida Fish and Wildlife Conservation Commission, FL
20329,Inspector Thomas Murray,"United States Department of the Treasury - Customs Service, US","EOW: Tuesday, October 30, 2001",Cause of Death: Exposure to toxins,Exposure to toxins,2001-10-30,2001,False,United States Department of the Treasury - Customs Service, US
20330,Special Police Officer Michael Maher,"Plainville Police Department, MA","EOW: Friday, November 2, 2001",Cause of Death: Struck by vehicle,Struck by vehicle,2001-11-02,2001,False,Plainville Police Department, MA
20331,Police Officer Carlos R. Acosta-Ray,"Puerto Rico Police Department, PR","EOW: Monday, November 5, 2001",Cause of Death: Gunfire,Gunfire,2001-11-05,2001,False,Puerto Rico Police Department, PR
20332,Trooper Frank Galvan Vazquez,"Ohio State Highway Patrol, OH","EOW: Tuesday, November 6, 2001",Cause of Death: Vehicular assault,Vehicular assault,2001-11-06,2001,False,Ohio State Highway Patrol, OH
20333,Sergeant Shelby Dean Blackfox,"Cherokee Nation Marshal Service, TR","EOW: Tuesday, November 6, 2001",Cause of Death: Motorcycle accident,Motorcycle accident,2001-11-06,2001,False,Cherokee Nation Marshal Service, TR
20334,Trooper Tod C. Kelly,"Pennsylvania State Police, PA","EOW: Wednesday, November 7, 2001",Cause of Death: Struck by vehicle,Struck by vehicle,2001-11-07,2001,False,Pennsylvania State Police, PA
20335,Deputy Sheriff Michael Shostak,"Lee County Sheriff's Office, FL","EOW: Thursday, November 8, 2001",Cause of Death: Automobile accident,Automobile accident,2001-11-08,2001,False,Lee County Sheriff's Office, FL
20336,"Deputy Sheriff Billy Ray Walls, III","Jessamine County Sheriff's Department, KY","EOW: Tuesday, November 13, 2001",Cause of Death: Gunfire,Gunfire,2001-11-13,2001,False,Jessamine County Sheriff's Department, KY
20337,Police Officer Thomas M. Bray,"Philadelphia Police Department, PA","EOW: Tuesday, November 13, 2001",Cause of Death: Drowned,Drowned,2001-11-13,2001,False,Philadelphia Police Department, PA
20338,Trooper Hans-Peter Roelle,"Alaska State Troopers, AK","EOW: Saturday, November 24, 2001",Cause of Death: Gunfire,Gunfire,2001-11-24,2001,False,Alaska State Troopers, AK
20339,Police Officer Christopher Kevin James,"Dallas Police Department, TX","EOW: Sunday, November 25, 2001",Cause of Death: Gunfire,Gunfire,2001-11-25,2001,False,Dallas Police Department, TX
20340,"Captain Charles Brown ""Chuck"" Morgan, Jr.","Jessamine County Sheriff's Department, KY","EOW: Wednesday, November 28, 2001",Cause of Death: Gunfire,Gunfire,2001-11-28,2001,False,Jessamine County Sheriff's Department, KY
20341,Police Officer Clinton Hunter,"Austin Police Department, TX","EOW: Thursday, November 29, 2001",Cause of Death: Vehicular assault,Vehicular assault,2001-11-29,2001,False,Austin Police Department, TX
20342,"Police Officer Roy Gene Turner, Jr.","Fayetteville Police Department, NC","EOW: Friday, November 30, 2001",Cause of Death: Gunfire,Gunfire,2001-11-30,2001,False,Fayetteville Police Department, NC
20343,Reserve Lieutenant Alfred Garrison,"Lantana Police Department, FL","EOW: Sunday, December 2, 2001",Cause of Death: Struck by vehicle,Struck by vehicle,2001-12-02,2001,False,Lantana Police Department, FL
20344,"Police Officer Wilson Alex Johnson, Jr.","Junction City Police Department, KS","EOW: Monday, December 3, 2001",Cause of Death: Gunfire,Gunfire,2001-12-03,2001,False,Junction City Police Department, KS
20345,Police Officer Candace Ripp,"Metro Nashville Police Department, TN","EOW: Saturday, December 8, 2001",Cause of Death: Struck by vehicle,Struck by vehicle,2001-12-08,2001,False,Metro Nashville Police Department, TN
20346,"Police Officer George A. Rose, Jr.","Los Angeles Police Department, CA","EOW: Sunday, December 9, 2001",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),2001-12-09,2001,False,Los Angeles Police Department, CA
20347,Patrolman Juan Antonio Morales,"San Antonio Police Department, TX","EOW: Tuesday, December 11, 2001",Cause of Death: Vehicular assault,Vehicular assault,2001-12-11,2001,False,San Antonio Police Department, TX
20348,Deputy Jailer Timothy Williams,"Calhoun County Sheriff's Office, AL","EOW: Monday, December 17, 2001",Cause of Death: Automobile accident,Automobile accident,2001-12-17,2001,False,Calhoun County Sheriff's Office, AL
20349,Agent Jose Manuel Salgado-Felix,"Puerto Rico Police Department, PR","EOW: Tuesday, December 18, 2001",Cause of Death: Gunfire,Gunfire,2001-12-18,2001,False,Puerto Rico Police Department, PR
20350,Master Police Officer III Shelia Dianne Twyman,"High Point Police Department, NC","EOW: Sunday, December 23, 2001",Cause of Death: Automobile accident,Automobile accident,2001-12-23,2001,False,High Point Police Department, NC
20351,Detective Donald Miller,"New Bern Police Department, NC","EOW: Tuesday, December 25, 2001",Cause of Death: Gunfire,Gunfire,2001-12-25,2001,False,New Bern Police Department, NC
20352,"Police Officer Ron Jones, Jr.","Prentiss Police Department, MS","EOW: Wednesday, December 26, 2001",Cause of Death: Gunfire,Gunfire,2001-12-26,2001,False,Prentiss Police Department, MS
20353,Major Alister C. McGregor,"East Providence Police Department, RI","EOW: Thursday, December 27, 2001",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),2001-12-27,2001,False,East Providence Police Department, RI
20354,Police Officer Michael Johns,"Coppell Police Department, TX","EOW: Friday, December 28, 2001",Cause of Death: Motorcycle accident,Motorcycle accident,2001-12-28,2001,False,Coppell Police Department, TX
20355,Lieutenant Randy Gerald,"Horry County Sheriff's Office, SC","EOW: Saturday, December 29, 2001",Cause of Death: Gunfire,Gunfire,2001-12-29,2001,False,Horry County Sheriff's Office, SC
20356,K9 Ivan,"Sacramento Police Department, CA","EOW: Friday, March 2, 2001",Cause of Death: Fall,Fall,2001-03-02,2001,True,Sacramento Police Department, CA
20357,K9 Rocco,"Long Beach Police Department, CA","EOW: Wednesday, May 16, 2001",Cause of Death: Fall,Fall,2001-05-16,2001,True,Long Beach Police Department, CA
20358,K9 Buddy,"Bremerton Police Department, WA","EOW: Monday, July 30, 2001",Cause of Death: Gunfire,Gunfire,2001-07-30,2001,True,Bremerton Police Department, WA
20359,K9 Sirius,"Port Authority of New York and New Jersey Police Department, NY","EOW: Tuesday, September 11, 2001",Cause of Death: Terrorist attack,Terrorist attack,2001-09-11,2001,True,Port Authority of New York and New Jersey Police Department, NY
20360,K9 Hugo,"Arizona Department of Public Safety, AZ","EOW: Monday, October 1, 2001",Cause of Death: Heat exhaustion,Heat exhaustion,2001-10-01,2001,True,Arizona Department of Public Safety, AZ
20361,Sergeant Scott Arner,"Jasper County Sheriff's Office, MO","EOW: Friday, January 4, 2002",Cause of Death: Drowned,Drowned,2002-01-04,2002,False,Jasper County Sheriff's Office, MO
20362,Police Officer Theodore Richard Zorsky,"Key Biscayne Police Department, FL","EOW: Tuesday, January 8, 2002",Cause of Death: Automobile accident,Automobile accident,2002-01-08,2002,False,Key Biscayne Police Department, FL
20363,Officer Jeffrey Cole Russell,"Albuquerque Police Department, NM","EOW: Tuesday, January 8, 2002",Cause of Death: Automobile accident,Automobile accident,2002-01-08,2002,False,Albuquerque Police Department, NM
20364,"Deputy Sheriff Robert Michael Tanner, Jr.","Muskingum County Sheriff's Department, OH","EOW: Tuesday, January 8, 2002",Cause of Death: Gunfire,Gunfire,2002-01-08,2002,False,Muskingum County Sheriff's Department, OH
20365,Lance Corporal Dana Lyle Tate,"Beaufort County Sheriff's Department, SC","EOW: Tuesday, January 8, 2002",Cause of Death: Gunfire,Gunfire,2002-01-08,2002,False,Beaufort County Sheriff's Department, SC
20366,"Corporal Dyke ""A. J."" Coursen","Beaufort County Sheriff's Department, SC","EOW: Tuesday, January 8, 2002",Cause of Death: Gunfire,Gunfire,2002-01-08,2002,False,Beaufort County Sheriff's Department, SC
20367,Agent Miguel Angel Sanchez-Febo,"San Juan Police Department, PR","EOW: Friday, January 11, 2002",Cause of Death: Gunfire,Gunfire,2002-01-11,2002,False,San Juan Police Department, PR
20368,Correctional Officer I Rodney C. Welch,"Missouri Department of Corrections, MO","EOW: Monday, January 14, 2002",Cause of Death: Heart attack,Heart attack,2002-01-14,2002,False,Missouri Department of Corrections, MO
20369,Agent Rafael Lopez-Colon,"San Juan Police Department, PR","EOW: Tuesday, January 15, 2002",Cause of Death: Gunfire,Gunfire,2002-01-15,2002,False,San Juan Police Department, PR
20370,Border Patrol Agent Eloy Hernandez,"United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol, US","EOW: Wednesday, January 16, 2002",Cause of Death: Automobile accident,Automobile accident,2002-01-16,2002,False,United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol, US
20371,"Detective Alvin Perez, Jr.","Bellwood Police Department, IL","EOW: Thursday, January 17, 2002",Cause of Death: Automobile accident,Automobile accident,2002-01-17,2002,False,Bellwood Police Department, IL
20372,Special Agent in Charge William Thomas Parr,"United States Environmental Protection Agency - Criminal Investigations Division, US","EOW: Thursday, January 17, 2002",Cause of Death: Duty related illness,Duty related illness,2002-01-17,2002,False,United States Environmental Protection Agency - Criminal Investigations Division, US
20373,Trooper Kelly Leland Poynter,"Missouri State Highway Patrol, MO","EOW: Friday, January 18, 2002",Cause of Death: Vehicular assault,Vehicular assault,2002-01-18,2002,False,Missouri State Highway Patrol, MO
20374,Private First Class Dennis Elisha LaPage,"Charleston Police Department, SC","EOW: Saturday, January 19, 2002",Cause of Death: Gunfire,Gunfire,2002-01-19,2002,False,Charleston Police Department, SC
20375,Sergeant Mark Frank Parry,"Baltimore County Police Department, MD","EOW: Monday, January 21, 2002",Cause of Death: Vehicular assault,Vehicular assault,2002-01-21,2002,False,Baltimore County Police Department, MD
20376,Agent Angela Ruiz-Arroyo,"Puerto Rico Police Department, PR","EOW: Monday, January 21, 2002",Cause of Death: Gunfire,Gunfire,2002-01-21,2002,False,Puerto Rico Police Department, PR
20377,Sergeant Hector L. Ortiz-Alvarez,"Puerto Rico Police Department, PR","EOW: Tuesday, January 29, 2002",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),2002-01-29,2002,False,Puerto Rico Police Department, PR
20378,Police Officer Dennis McNamara,"Upper Darby Township Police Department, PA","EOW: Wednesday, January 30, 2002",Cause of Death: Gunfire,Gunfire,2002-01-30,2002,False,Upper Darby Township Police Department, PA
20379,Master Sergeant Michael D. Harmon,"Ohio Air National Guard - 178th Security Forces Squadron, OH","EOW: Thursday, January 31, 2002",Cause of Death: Heart attack,Heart attack,2002-01-31,2002,False,Ohio Air National Guard - 178th Security Forces Squadron, OH
20380,Police Officer Jack David Cooper,"Little Rock Police Department, AR","EOW: Saturday, February 2, 2002",Cause of Death: Gunfire,Gunfire,2002-02-02,2002,False,Little Rock Police Department, AR
20381,Deputy Sheriff Larry Mack Dowdy,"Coryell County Sheriff's Department, TX","EOW: Saturday, February 2, 2002",Cause of Death: Automobile accident,Automobile accident,2002-02-02,2002,False,Coryell County Sheriff's Department, TX
20382,"Investigator Herman Owen Scott, Jr.","Harrison County Sheriff's Office, TX","EOW: Friday, February 8, 2002",Cause of Death: Automobile accident,Automobile accident,2002-02-08,2002,False,Harrison County Sheriff's Office, TX
20383,Police Officer Eric Lee Ottis,"Bennington Police Department, NE","EOW: Sunday, February 10, 2002",Cause of Death: Automobile accident,Automobile accident,2002-02-10,2002,False,Bennington Police Department, NE
20384,"Trooper Lawrence P. ""Larry"" Gleason","New York State Police, NY","EOW: Monday, February 11, 2002",Cause of Death: Gunfire,Gunfire,2002-02-11,2002,False,New York State Police, NY
20385,Police Officer Michael T. Scanlon,"Detroit Police Department, MI","EOW: Tuesday, February 12, 2002",Cause of Death: Stabbed,Stabbed,2002-02-12,2002,False,Detroit Police Department, MI
20386,Trooper Brian Keith Nichols,"Alabama Department of Public Safety, AL","EOW: Sunday, February 17, 2002",Cause of Death: Automobile accident,Automobile accident,2002-02-17,2002,False,Alabama Department of Public Safety, AL
20387,Sergeant Thomas Alan Hontz,"Scottsdale Police Department, AZ","EOW: Wednesday, February 20, 2002",Cause of Death: Training accident,Training accident,2002-02-20,2002,False,Scottsdale Police Department, AZ
20388,Investigator Walter Kenneth Floyd,"Clarendon County Sheriff's Department, SC","EOW: Friday, March 1, 2002",Cause of Death: Automobile accident,Automobile accident,2002-03-01,2002,False,Clarendon County Sheriff's Department, SC
20389,Sergeant Earl Alison Hall,"Austin Police Department, TX","EOW: Monday, March 4, 2002",Cause of Death: Heart attack,Heart attack,2002-03-04,2002,False,Austin Police Department, TX
20390,Patrolman Hector Manuel Gomez,"Marion Police Department, LA","EOW: Tuesday, March 5, 2002",Cause of Death: Gunfire,Gunfire,2002-03-05,2002,False,Marion Police Department, LA
20391,Police Officer Keith Alan Dees,"Houston Police Department, TX","EOW: Thursday, March 7, 2002",Cause of Death: Motorcycle accident,Motorcycle accident,2002-03-07,2002,False,Houston Police Department, TX
20392,Juvenile Corrections Officer William J. Mann,"Idaho Department of Juvenile Correction, ID","EOW: Tuesday, March 12, 2002",Cause of Death: Aircraft accident,Aircraft accident,2002-03-12,2002,False,Idaho Department of Juvenile Correction, ID
20393,Detective Gary R. Lindell,"Seattle Police Department, WA","EOW: Wednesday, March 13, 2002",Cause of Death: Animal related,Animal related,2002-03-13,2002,False,Seattle Police Department, WA
20394,Police Officer Donald Joseph Marquez,"Chicago Police Department, IL","EOW: Tuesday, March 19, 2002",Cause of Death: Gunfire,Gunfire,2002-03-19,2002,False,Chicago Police Department, IL
20395,Deputy Sheriff Adam V. Streicher,"Stark County Sheriff's Department, IL","EOW: Friday, March 22, 2002",Cause of Death: Gunfire,Gunfire,2002-03-22,2002,False,Stark County Sheriff's Department, IL
20396,Game Warden Jimmy Dean Hutto,"Alabama Department of Conservation and Natural Resources - Wildlife and Freshwater Fisheries, AL","EOW: Monday, March 25, 2002",Cause of Death: Gunfire,Gunfire,2002-03-25,2002,False,Alabama Department of Conservation and Natural Resources - Wildlife and Freshwater Fisheries, AL
20397,Deputy Sheriff Donald Lee Schavolt,"Palm Beach County Sheriff's Office, FL","EOW: Sunday, March 31, 2002",Cause of Death: Heart attack,Heart attack,2002-03-31,2002,False,Palm Beach County Sheriff's Office, FL
20398,Detective Jaime Betancourt,"New York City Police Department, NY","EOW: Sunday, March 31, 2002",Cause of Death: Stabbed,Stabbed,2002-03-31,2002,False,New York City Police Department, NY
20399,Agent Jose L. Garcia-Baez,"Puerto Rico Police Department, PR","EOW: Tuesday, April 2, 2002",Cause of Death: Gunfire,Gunfire,2002-04-02,2002,False,Puerto Rico Police Department, PR
20400,Captain Jimmy Douglas Sawyer,"North Carolina Marine Patrol, NC","EOW: Friday, April 5, 2002",Cause of Death: Heart attack,Heart attack,2002-04-05,2002,False,North Carolina Marine Patrol, NC
20401,Police Officer Victor De Pedro-Fernandez,"San Juan Police Department, PR","EOW: Saturday, April 6, 2002",Cause of Death: Automobile accident,Automobile accident,2002-04-06,2002,False,San Juan Police Department, PR
20402,Sheriff Samuel Wilson Catron,"Pulaski County Sheriff's Department, KY","EOW: Saturday, April 13, 2002",Cause of Death: Gunfire,Gunfire,2002-04-13,2002,False,Pulaski County Sheriff's Department, KY
20403,"Lieutenant Robert Eugene Frazier, Jr.","Charlottesville Police Department, VA","EOW: Monday, April 15, 2002",Cause of Death: Heart attack,Heart attack,2002-04-15,2002,False,Charlottesville Police Department, VA
20404,Police Officer Jose Oscar Rodriguez-Reyes,"United States Department of Veterans Affairs Police Services, US","EOW: Wednesday, April 24, 2002",Cause of Death: Gunfire,Gunfire,2002-04-24,2002,False,United States Department of Veterans Affairs Police Services, US
20405,Captain George Scott Monier,"White Settlement Police Department, TX","EOW: Wednesday, April 24, 2002",Cause of Death: Gunfire,Gunfire,2002-04-24,2002,False,White Settlement Police Department, TX
20406,Deputy Sheriff David William March,"Los Angeles County Sheriff's Department, CA","EOW: Monday, April 29, 2002",Cause of Death: Gunfire,Gunfire,2002-04-29,2002,False,Los Angeles County Sheriff's Department, CA
20407,Sergeant Stephen Edward Davenport,"Limestone County Sheriff's Department, TX","EOW: Thursday, May 2, 2002",Cause of Death: Gunfire,Gunfire,2002-05-02,2002,False,Limestone County Sheriff's Department, TX
